0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
44613,4167,1376,22959,1097,4122,1296,22530,1349,1084,1051,3340,2696,875,999,2806,3265,3906,1920,3538,1782,3948,1769,3433,2140,3488,15818,8395,3134,3620,16210,8643,4141,301,4268,5770,3600,289,4588,5400,3256,522,451,392,328,505,387,251,196,119,649,161,256,134,475,87,86,8444266,67753,7
43457,4472,1251,21721,1027,4377,1244,21321,1273,990,1027,3215,2754,913,866,2791,3281,3720,2050,3634,1829,4056,1802,3576,1894,3657,14748,8284,3698,3831,14588,8507,3936,274,4385,5573,3854,242,4408,5666,3127,504,451,367,350,448,412,219,179,91,514,133,223,114,371,54,90,8451819,66342,7
71778,7254,436,10056,2275,7335,195,10051,2119,865,621,1937,2475,826,383,1158,2437,935,1456,10836,1550,1365,1160,10849,1404,115,849,10900,13665,385,1353,11051,15158,180,196,1205,20741,146,141,665,21358,559,62,199,545,515,262,187,181,17,162,67,312,72,346,418,305,8435354,60573,8
80356,6259,507,13993,2725,6165,196,13971,2512,1032,693,2111,2678,890,320,1076,2682,1029,1672,11600,1589,1518,1325,11802,1365,131,1102,18688,10260,371,1704,18770,12067,123,206,1625,22549,150,140,730,23711,416,84,196,632,498,300,251,177,13,237,115,325,62,555,478,344,8394185,68739,8
78056,5846,431,14675,2391,5675,169,14892,2232,912,645,2080,2563,876,323,1072,2574,1058,1658,11853,1598,1565,1319,11468,1320,124,1324,19709,9702,406,1665,19787,11168,117,243,1775,22162,115,128,789,23547,410,60,236,557,414,289,225,128,14,190,88,303,55,527,390,221,8398624,67257,8
40779,4101,961,15788,1588,4071,892,15845,1473,1072,983,3353,3181,966,867,2973,3311,2586,1855,4055,2152,2674,1684,4194,2061,2269,4287,11090,4776,2436,4333,11111,5529,353,1806,3078,4612,411,1530,2802,4118,618,257,204,298,598,427,328,243,47,264,53,135,68,433,160,140,8510359,47362,9
40544,3987,898,15728,1667,4145,760,15707,1488,931,910,3209,3095,1024,847,2678,3188,2505,1809,4023,1984,2646,1717,4377,1864,2041,4099,11192,4861,2186,4137,11259,5328,313,1819,3027,4811,359,1501,2690,4417,637,233,208,300,600,399,349,278,50,255,52,127,53,463,189,149,8512587,47300,9
36899,3577,820,15267,1523,3667,681,15303,1408,1007,864,3027,2964,943,753,2408,3131,2237,1739,3965,1846,2378,1637,3961,1896,1642,3773,11113,4477,1902,4006,11204,5247,328,1403,3158,4399,340,1204,2423,4011,571,195,214,284,502,323,293,237,37,221,47,129,51,398,154,159,8527618,44036,9
35395,3292,911,19695,1114,2905,611,18864,1336,823,728,2539,2100,528,433,1618,2523,2145,1591,4006,1409,2312,1179,4097,1523,1487,5281,15611,3329,1782,5964,16724,4456,189,2007,4862,5624,196,1774,4559,4984,390,207,243,356,446,293,287,213,37,281,55,99,62,407,92,81,8498371,55574,10
35882,3378,859,20842,994,3026,579,20278,1255,862,765,2676,2377,564,461,1757,2729,2334,1795,4129,1250,2438,1305,4208,1375,1524,6315,15962,3329,1779,6754,16990,4151,167,2399,5617,5629,215,1947,5209,4982,420,212,282,295,415,282,256,200,31,275,74,96,51,354,77,64,8486669,58860,10
35458,3281,858,18321,1073,2980,560,17808,1348,810,741,2493,2116,578,442,1629,2583,2015,1484,4349,1384,2178,1101,4347,1517,1290,4871,14776,3731,1601,5555,15454,4630,227,1991,4573,6079,203,1629,4079,5351,432,217,233,337,441,268,228,196,23,271,60,112,52,361,80,72,8505729,53394,10
31722,3234,1132,13172,1238,3379,1096,12647,1239,1013,1061,3201,2673,842,916,2575,2956,2861,1920,2850,1834,3008,1644,2866,1950,2280,4917,4639,2818,2434,4848,4952,3236,282,2078,2712,2486,321,2222,2588,1960,607,436,397,336,511,502,374,261,79,483,93,170,98,548,115,104,8557869,39215,11
31187,3316,936,12345,1552,3360,816,11686,1467,877,855,2766,2551,801,790,1985,2765,2112,1585,3318,1792,2227,1396,3351,1759,1159,3402,6683,3711,1303,3540,6881,5105,282,1235,2260,3426,284,1233,2089,3438,592,250,332,359,534,404,361,267,46,397,128,193,115,593,210,104,8564087,37402,11
31284,3374,1099,13226,1332,3362,1046,12780,1324,891,1027,3136,2663,905,904,2415,2950,2683,1799,3283,1759,2863,1574,3188,1805,1932,4896,5778,2981,2091,4942,5869,3877,270,1769,2844,2755,257,2019,2692,2458,608,292,389,392,521,390,350,298,84,459,113,179,125,555,146,107,8555185,39705,11
21758,2056,729,11095,821,1895,539,10907,849,704,726,2140,1834,558,493,1577,2175,2032,1428,2131,1171,2190,1209,2421,1168,1331,4846,5287,1584,1447,5220,5725,2054,156,1590,2797,2075,130,1420,2477,1613,266,181,181,240,222,259,243,210,27,198,41,81,36,202,70,134,8602777,30274,12
22196,1992,720,11952,861,1933,595,11290,925,700,676,2302,1955,576,496,1763,2150,1982,1442,2083,1168,2138,1063,2401,1237,1208,5242,5297,1494,1416,5464,5652,2053,153,1635,2696,2115,155,1606,2640,1705,305,217,248,223,251,334,234,220,48,251,50,74,29,274,68,112,8598118,31817,12
21010,1879,675,11304,858,1799,581,10833,907,626,577,2146,1837,513,461,1637,2076,1774,1351,2154,1133,1865,1117,2314,1178,999,4481,5432,1486,1209,4588,5605,2097,158,1339,2616,2224,149,1180,2559,1743,312,183,216,217,245,272,269,263,54,248,36,79,45,282,89,119,8606076,30525,12
17271,1413,435,8630,705,1186,290,8480,895,597,441,1702,1565,422,315,1179,1778,1182,967,2132,864,1434,973,2282,915,462,2564,5618,1425,624,2848,5838,1922,75,678,1910,2483,72,542,1782,2092,183,92,99,112,170,138,132,127,19,173,38,34,19,195,58,47,8637123,22253,13
17930,1422,384,9104,709,1204,316,9008,846,599,463,1713,1597,400,302,1259,1850,1161,1012,2282,860,1436,999,2471,909,429,2675,6206,1454,608,2885,6462,2044,80,656,2023,2728,63,523,1788,2215,162,86,115,115,148,119,119,111,17,158,23,38,23,201,47,35,8632260,23148,13
16647,1359,490,8599,718,1038,311,8524,840,584,451,1672,1434,368,284,1136,1827,1193,910,2052,845,1375,950,2209,856,425,2679,5714,1343,608,3027,5920,1804,80,693,2052,2274,75,550,1765,1905,160,81,106,122,132,151,106,149,18,171,27,37,18,186,53,37,8638596,22264,13
30707,3105,518,9832,1238,2996,343,9829,1297,919,676,2230,2293,682,418,1484,2607,1367,1529,4422,1437,1665,1302,4588,1334,439,1569,8119,4497,636,1815,8445,5101,165,532,1365,6040,178,291,980,5419,454,112,169,314,438,219,209,228,12,182,41,106,41,250,142,115,8581695,30864,14
24456,2354,471,8132,1007,2243,321,7974,1050,784,526,1800,1901,636,375,1220,2059,1224,1274,3615,1095,1434,1051,3549,1132,468,1338,6487,3107,533,1581,6846,3542,132,526,1180,4512,131,286,840,4329,343,94,155,242,302,175,202,200,17,146,32,110,25,220,92,129,8615754,24241,14
28411,2907,511,9416,1252,2695,379,9486,1219,868,714,2149,2137,667,432,1424,2371,1415,1433,3991,1296,1631,1184,4159,1250,516,1492,7242,3806,706,1885,7535,4496,162,547,1285,5179,171,405,982,4802,367,149,182,327,468,234,248,231,18,202,43,144,49,311,137,144,8593377,28761,14
26276,2742,742,13371,705,2422,521,13082,955,757,710,2427,2033,526,497,1716,2472,2129,1452,2861,1239,2248,1166,3153,1355,1372,5628,7484,2545,1824,6212,7953,3160,154,1731,3299,3594,151,1683,3151,2563,292,191,199,194,310,237,128,148,19,173,30,55,35,195,45,57,8570346,37285,15
29097,2821,795,14797,722,2492,533,13871,1046,755,745,2410,2054,496,528,1654,2435,2284,1528,3117,1282,2288,1301,3398,1458,1500,6649,8429,2729,1756,7143,9111,3644,165,1932,3950,3807,160,1742,3304,3265,307,154,169,206,292,225,197,166,21,171,27,60,25,206,63,65,8552844,41609,15
27534,2837,740,14229,727,2505,529,13960,975,777,711,2435,2100,514,497,1737,2359,2098,1551,3083,1273,2269,1112,3171,1404,1300,6164,8065,2730,1635,6764,8624,3500,170,1772,3612,3719,148,1499,3326,3074,339,159,189,192,293,198,178,123,23,184,31,51,29,219,57,50,8560274,40182,15
