0,1,2,3,4
547.83905143014,684.3488422381025,241.91235727982635,626.7997534579425,1.0
517.5558377222491,642.0344337798978,229.36889739844162,596.7627299869711,1.0
594.1674801185277,744.7852434642838,262.86738476696996,678.8583199770549,1.0
569.3597943314601,717.1040174485083,300.6321273650571,704.8775344668703,2.0
642.6218883762948,942.7559959217981,369.887297306735,696.164633817722,2.0
554.0454593024452,756.0388067466133,309.11592059067084,648.7750966669653,2.0
562.3458916195771,757.0428034027813,245.81010873581107,586.340712698907,3.0
536.2439700795644,711.4262606847702,236.0214028054466,571.4202422301821,3.0
561.4896422709809,748.4282717011891,242.64066908311838,588.4530987552824,3.0
590.4238842603286,911.6963066830068,291.29632499861174,528.9563641437898,4.0
600.2644259128283,889.9147822298206,283.434398546078,558.4748529805626,4.0
571.8801949072465,846.354622322752,272.6761800468071,536.9897366798989,4.0
328.2375945247946,418.6403611271206,186.13912225400117,421.2978751167316,5.0
323.6620706112778,411.9217987510209,178.17077168818474,408.3721494005392,5.0
322.2026395242385,412.851134273266,182.07908053102187,410.2147023494721,5.0
497.122914493496,622.3043757473216,235.76331392976584,589.143396616058,6.0
489.0519632557558,608.9504609123139,233.13741648141402,584.5940785193824,6.0
501.91352487809024,629.7271703542916,233.19558790596054,585.1490619828131,6.0
604.8093519032896,698.9816902303428,294.36102781238793,771.9219245528758,7.0
616.9633554791577,696.2211768881857,299.825201106424,806.5107796119412,7.0
602.3893499373556,690.6977459945546,296.3853467432271,786.0615880366996,7.0
475.6401605447267,1093.904969663729,421.063985798605,284.35601872260634,8.0
564.5056675809212,1243.938652269582,449.785206585104,313.8141244372164,8.0
563.4174860045929,1224.6119430835417,434.4890989394236,314.2094661557979,8.0
463.052617894649,680.2413545250869,262.66060576340544,501.2440081386162,9.0
461.3455833962794,686.1433038131199,266.16540963304817,493.44961557212986,9.0
432.1300676205521,645.5960591763837,244.03562491183487,453.7094431594373,9.0
505.54978712354847,726.9983427763963,242.72224364104625,500.1536199147461,10.0
536.3202963646678,751.5654450906047,249.38377232056507,542.4208040324978,10.0
484.94225374137596,710.5276358124352,239.79215810709837,474.8900428783249,10.0
389.81633379853645,497.69487344751406,222.7763569961908,491.13020859134025,11.0
359.2203100486173,528.7230327335322,213.63862244061593,392.41869425711855,11.0
384.0033786237117,509.1764406258008,215.5665798474327,463.7049577599823,11.0
299.54174581612693,381.8302656174781,152.87837224249526,358.5905147322265,12.0
312.48137889545586,389.6849589409467,152.75106159969695,372.6224181959438,12.0
299.3273964121755,385.380487338788,144.99384273824023,343.07720334818816,12.0
229.18246358719298,330.12591966152854,117.23840015862011,234.57414093263307,13.0
242.22994696549665,349.74239691722795,121.17478178053013,243.62922612387914,13.0
228.8012569198076,322.7797496971503,111.73495912616909,235.12947627647657,13.0
